Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SL,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
1,0,13948,0,0,0,0,0,0,61510,427743,394191,96536,63310,0,0,0,0,79632,0,68550,131633,0,0,0,614888,859815,234933,40440,0,131161,972381,342315,582767,681517,229479,27255,0,175924,0,87532,0
2,0,33984,0,0,0,0,0,0,80885,687090,634339,122514,100349,0,0,0,0,114075,0,128209,110483,0,0,0,453242,655347,238509,39705,0,147419,1172031,229568,437258,815394,726301,40117,0,210488,0,112081,0
3,0,24812,0,0,0,0,0,0,65659,641604,527835,117344,82873,0,0,0,0,109472,0,142985,134681,0,0,0,594003,865487,238255,38380,0,146809,1119070,318960,588213,798188,645739,46116,0,206039,0,100473,0
4,0,26959,0,0,0,0,0,0,62213,731096,424942,117711,77572,0,0,0,0,92090,0,131161,162602,0,0,0,396534,612273,204356,46469,0,102858,791817,193446,417594,469828,403534,43066,0,121280,0,101204,0
5,0,25239,0,0,0,0,0,0,62746,656177,427600,80990,64467,0,0,0,0,77259,0,140819,117792,0,0,0,186174,429934,200720,48645,0,108421,759654,171809,303182,531654,408987,40821,0,137240,0,92888,0
6,0,22165,0,0,0,0,0,0,64312,529031,332923,81236,67411,0,0,0,0,70505,0,117049,116060,0,0,0,624122,843283,258841,49659,0,136849,1072088,358661,562207,735598,337776,31407,0,189883,0,85354,0
7,0,28056,0,0,0,0,0,0,53396,545881,386826,104061,74919,0,0,0,0,66650,0,120490,128666,0,0,0,496164,796586,239653,49474,0,142958,1092223,289324,522368,717297,434324,56351,0,185157,0,90904,0
8,0,28132,0,0,0,0,0,0,42224,437442,401279,104755,79194,0,0,0,0,65748,0,76130,136622,0,0,0,415508,738971,248267,49282,0,112128,1030621,258794,448661,617422,428024,42660,0,159382,0,91919,0
9,0,36373,0,0,0,0,0,0,50170,591259,454619,109356,92825,0,0,0,0,70509,0,92902,126840,0,0,0,399218,719495,264830,50046,0,146591,1043397,230941,423156,628803,493667,72476,0,162319,0,110258,0
10,0,30242,0,0,0,0,0,0,54080,758208,445154,114117,100852,0,0,0,0,56586,0,175844,118302,0,0,0,583753,869779,278734,47686,0,118903,942009,316093,527601,628114,583072,64505,0,162140,0,114414,0
11,0,35723,0,0,0,0,0,0,47077,872067,483747,134273,96727,0,0,0,0,55637,0,183983,123188,0,0,0,409461,675669,258453,42239,0,123286,914444,279154,448867,588808,441412,59390,0,151994,0,104546,0
12,0,32265,0,0,0,0,0,0,44344,821352,454755,101003,90389,0,0,0,0,65736,0,132070,111701,0,0,0,483413,632380,261734,39350,0,121263,958531,253827,472170,591844,382535,43956,0,152776,0,95536,0
13,0,36505,0,0,0,0,0,0,31989,725589,399682,96225,90846,0,0,0,0,58306,0,131876,90718,0,0,0,428100,556513,269695,39546,0,125118,886282,224331,460637,532839,348933,32311,0,137547,0,89915,0
14,0,46691,0,0,0,0,0,0,32490,772618,233355,78270,91652,0,0,0,0,61302,0,125865,109728,0,0,0,344667,529278,270902,41161,0,93514,638005,227122,448388,468206,274314,20527,0,120869,0,66426,0
15,0,48311,0,0,0,0,0,0,35731,760735,213574,65920,102577,0,0,0,0,71868,0,125756,109341,0,0,0,249825,425557,261970,44025,0,56086,618072,178992,314380,344965,323766,18867,0,89049,0,67955,0
16,0,51600,0,0,0,0,0,0,48053,559726,254056,74594,121685,0,0,0,0,84417,0,113344,149590,0,0,0,421821,694266,287932,44365,0,75636,828619,280840,431420,454618,340018,29497,0,117350,0,52646,0
17,0,52547,0,0,0,0,0,0,53639,557134,345609,82961,114078,0,0,0,0,66586,0,100198,124523,0,0,0,402935,728376,299640,38125,0,85779,1005754,313151,451359,511886,403242,29529,0,132134,0,52334,0
18,0,51013,0,0,0,0,0,0,38233,393693,362788,41154,96996,0,0,0,0,81811,0,79510,113547,0,0,0,247191,764307,282106,29246,0,66912,678343,223678,309253,293372,363931,13498,0,75732,0,29599,0
19,0,55777,0,0,0,0,0,0,40888,432429,355162,49695,113585,0,0,0,0,88082,0,76257,110718,0,0,0,228849,799797,261298,22960,0,88432,760258,212309,263430,470655,413836,14172,0,121491,0,50750,0
20,0,76983,0,0,0,0,0,0,50606,428119,327914,50635,143604,0,0,0,0,106080,0,65315,118091,0,0,0,230720,709058,229515,19179,0,92550,594946,133173,163778,395616,391783,14200,0,102127,0,54421,0
21,0,63151,0,0,0,0,0,0,46899,425965,302384,43993,148537,0,0,0,0,110403,0,70823,109920,0,0,0,332885,745703,189298,15318,0,68662,763254,141215,170635,420917,405684,11322,0,108654,0,42537,0
22,0,61755,0,0,0,0,0,0,54010,362608,270363,46689,151805,0,0,0,0,112158,0,37087,112042,0,0,0,294319,711741,180657,12518,0,82548,784101,139784,178131,510723,405014,16890,0,131828,0,46988,0
23,0,64400,0,0,0,0,0,0,70021,419193,308840,53649,153594,0,0,0,0,131855,0,62873,119812,0,0,0,258350,585248,147694,12181,0,103349,652640,154711,166621,428322,422907,25375,0,110567,0,53524,0
24,0,59808,0,0,0,0,0,0,70558,272199,320949,53886,154935,0,0,0,0,118041,0,45561,92746,0,0,0,288185,656053,181695,13756,0,140951,674779,224273,295914,383752,401571,17288,0,99067,0,31936,0
25,0,51512,0,0,0,0,0,0,77656,329701,353666,52429,167784,0,0,0,0,135488,0,56986,107103,0,0,0,220404,577841,176211,11928,0,119107,771475,190126,220166,469262,553009,18362,0,121134,0,55368,0
26,0,50031,0,0,0,0,0,0,72878,359543,342648,62178,171171,0,0,0,0,135259,0,61934,115421,0,0,0,154684,519959,143272,10641,0,107881,681440,167870,213643,422257,579941,14883,0,109000,0,62561,0
27,0,40802,0,0,0,0,0,0,68676,271436,320909,39090,174048,0,0,0,0,116390,0,37019,76036,0,0,0,199417,483397,153981,13965,0,93609,604344,213185,238384,406403,524851,11852,0,104909,0,36003,0
28,0,54464,0,0,0,0,0,0,82870,292298,330328,51900,165670,0,0,0,0,131292,0,28066,107043,0,0,0,163539,517040,206193,23768,0,118338,756505,216850,193155,424737,723481,18796,0,109634,0,67727,0
29,0,59467,0,0,0,0,0,0,89043,291960,270885,60584,176050,0,0,0,0,133047,0,28507,110729,0,0,0,225482,543237,251824,30541,0,135833,725039,209268,145118,439897,760459,20679,0,113551,0,60645,0
30,0,41938,0,0,0,0,0,0,83055,280668,255802,48813,153209,0,0,0,0,133641,0,32424,73439,0,0,0,228721,640487,276860,26258,0,150761,717591,212602,124649,399728,734961,15347,0,103186,0,54525,0
31,0,38409,0,0,0,0,0,0,82693,284427,265364,52056,156187,0,0,0,0,126179,0,32981,68539,0,0,0,223822,552067,295276,18277,0,118154,714222,214096,132035,389972,761517,12052,0,100670,0,30955,0
32,0,44250,0,0,0,0,0,0,84988,274748,236273,59498,161790,0,0,0,0,112053,0,33908,67538,0,0,0,241685,545043,210166,19362,0,103676,572221,164117,127661,424815,702657,16646,0,109663,0,25092,0
33,0,46138,0,0,0,0,0,0,89021,231913,219589,52987,131682,0,0,0,0,89781,0,27644,76702,0,0,0,239545,657533,190816,18332,0,102019,737135,186755,133339,529081,658649,16644,0,136569,0,48799,0
34,0,31779,0,0,0,0,0,0,62302,224618,202308,47817,103330,0,0,0,0,81139,0,22028,89748,0,0,0,169170,392014,131333,12483,0,96164,559377,161707,121503,432193,489410,13120,0,111564,0,43975,0
35,0,28064,0,0,0,0,0,0,52888,281531,228153,42491,107329,0,0,0,0,108567,0,29123,89405,0,0,0,211460,461669,149935,12845,0,116361,751632,176732,156687,549665,634036,15102,0,141889,0,44815,0
36,0,28381,0,0,0,0,0,0,49696,233203,226973,31502,110130,0,0,0,0,89855,0,25819,85407,0,0,0,347431,702593,207362,14025,0,138073,721134,194459,165351,541731,587810,12597,0,139835,0,31363,0
37,0,14566,0,0,0,0,0,0,42398,200869,162162,37130,121000,0,0,0,0,84230,0,19291,92753,0,0,0,243903,613906,210090,13276,0,156746,741268,161331,116855,535682,330578,14507,0,138283,0,28984,0
38,0,22380,0,0,0,0,0,0,40113,307833,157805,40918,105606,0,0,0,0,101905,0,23190,58714,0,0,0,229226,752562,216950,11263,0,147702,749359,223515,219899,578889,386309,13372,0,149428,0,37905,0
39,0,21657,0,0,0,0,0,0,35540,235123,194229,39653,101999,0,0,0,0,92455,0,26237,35320,0,0,0,233289,662991,213156,14538,0,142112,666906,199899,284569,507125,334884,7637,0,130907,0,28826,0
40,0,12848,0,0,0,0,0,0,32506,311816,267227,60721,105423,0,0,0,0,105702,0,26845,42699,0,0,0,358020,798853,238139,19141,0,142462,788905,270844,383661,539406,356848,23329,0,139235,0,55712,0
41,0,10847,0,0,0,0,0,0,19507,383890,356238,75938,128577,0,0,0,0,91236,0,47293,36100,0,0,0,267437,727807,218794,19613,0,134806,588083,208965,313012,518613,463165,43389,0,133875,0,68470,0
42,0,11060,0,0,0,0,0,0,20334,435281,411449,71278,146493,0,0,0,0,112694,0,54280,61392,0,0,0,233687,741024,207052,23962,0,125229,563376,188175,300967,442570,501095,47801,0,114238,0,61383,0
43,0,17728,0,0,0,0,0,0,21659,502333,406059,66840,144042,0,0,0,0,114303,0,52476,55530,0,0,0,190430,561343,174822,20522,0,127982,660326,166415,196601,485520,564498,43829,0,125332,0,66711,0
44,0,11447,0,0,0,0,0,0,19260,477145,391251,67047,131999,0,0,0,0,63660,0,71427,63010,0,0,0,223272,627547,174090,21467,0,150982,805261,250510,220107,639647,446607,35183,0,165119,0,65996,0
45,0,12299,0,0,0,0,0,0,20285,504109,362122,70135,116349,0,0,0,0,62569,0,67755,89888,0,0,0,364352,762992,239243,19729,0,135028,1031709,273694,338244,695773,532857,40245,0,179599,0,81237,0
46,0,28063,0,0,0,0,0,0,35668,369222,315155,51751,83292,0,0,0,0,59724,0,59131,110744,0,0,0,303870,584369,193931,19394,0,106294,860033,320782,324544,652451,586746,44621,0,168424,0,48836,0
47,0,13107,0,0,0,0,0,0,19251,305764,289018,66643,69075,0,0,0,0,49389,0,46500,91540,0,0,0,438035,780132,217613,21827,0,132042,997264,366742,438578,757160,510179,43207,0,195444,0,36752,0
48,0,9051,0,0,0,0,0,0,17553,360002,285504,80153,67748,0,0,0,0,51239,0,51593,59073,0,0,0,319216,762010,187440,23692,0,114170,857942,340865,408732,649057,438480,47496,0,167544,0,82613,0
49,0,8356,0,0,0,0,0,0,28630,306280,335058,75099,59522,0,0,0,0,59232,0,40841,55915,0,0,0,318392,740399,238309,25285,0,135639,1013651,337861,428300,764012,490141,43118,0,197220,0,86717,0
50,0,9249,0,0,0,0,0,0,33818,448614,479134,83237,82466,0,0,0,0,78475,0,35365,54245,0,0,0,282466,710020,227421,24124,0,143984,1084326,376245,401972,814998,627687,55171,0,210373,0,95263,0
51,0,6700,0,0,0,0,0,0,33360,338500,214465,76440,51159,0,0,0,0,33153,0,13161,60567,0,0,0,377903,827545,185963,28832,0,122074,798396,326180,477148,605950,405124,43129,0,156417,0,80251,0
52,0,12966,0,0,0,0,0,0,60617,366360,454438,95733,67323,0,0,0,0,39780,0,15585,50769,0,0,0,304734,700353,205371,37345,0,146068,1160251,312053,285005,759323,337204,49053,0,196004,0,95744,0
